Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,124,1.3747518532518597e-13,1.4607556392175272e-10,1.7529222019536158e-11,-3.103939703181126e-09,2.638669888420745,-3.245284206032862,2.2972693665037225,-0.7233329300442766,2.255113381919987e-15,2.7499037477282535e-16,2.947996568831299e-17,1.3333881321551043e-23,1.866917044611765e-24,5.409365031584569,1.238076180748824e-10,1.576393601418848e-11,1.3430895852035772e-11,1.1147360904835882e-11,1.1210053995405432e-12,2.7777213384580233e-14,1.8813512671314893e-14,4.4212703928053475e-14,1.2457372793780898e-14
1,82,2.7061834110864495e-13,2.8450067001997955e-10,2.0627061672278203e-11,-2.187583643568052e-09,2.630632535962093,-3.212891429169408,2.2662310970765773,-0.7007193708214965,4.359729178334657e-15,2.8554290613624603e-16,5.188120155215055e-17,1.7037926700055427e-23,2.674137020423054e-24,4.175171351576475,2.9554813581472854e-10,1.490339994965603e-11,1.45153432518836e-11,1.373847992376538e-11,1.348821873142462e-12,3.0743368357092154e-14,1.3501645138823469e-14,4.054845946415775e-14,1.3297351441874811e-14
2,76,3.073462935441218e-13,3.165031578421055e-10,1.9745549394592603e-11,-1.5175795518325906e-09,2.67598577287406,-3.289630766681203,2.308412290406607,-0.7102080827717976,5.668899652743536e-15,2.964907276184571e-16,2.644244064760329e-17,1.4754540543481854e-23,2.8030547288988183e-24,3.7967239842860527,3.300262502368025e-10,1.4378470514778857e-11,1.8735201533758382e-11,1.0351711976890635e-11,1.1837525061862696e-12,1.7412556390910513e-14,1.965016208726805e-14,4.184695903952141e-14,1.436749231016431e-14
3,104,1.5677509752613083e-13,1.6159740314991627e-10,1.3542056781139116e-11,-1.5824372400752113e-09,2.652873260043531,-3.2476328430428256,2.275866217037889,-0.7036986413004135,1.8063451735096815e-15,1.7209875532545833e-16,2.2051540105260766e-17,1.2942362424223144e-23,2.0272492675255373e-24,5.425172297887735,1.5455943555428962e-10,1.2835085296073911e-11,1.0942898799169995e-11,7.88606735381988e-12,8.073468584910007e-13,4.553971126681724e-14,1.6677784691347505e-14,3.5872728946612864e-14,5.042296081806388e-15
4,93,1.5086094749064744e-13,1.5354391046813632e-10,1.4661114802270968e-11,-1.4582199271294798e-09,2.6324811847901977,-3.219499075835138,2.282520220587603,-0.7234121538709161,2.0866179882066927e-15,1.8939517757884863e-16,2.2407042592109072e-17,1.5030396470710333e-23,1.6024158064499666e-24,5.563805210297114,1.2264018955662527e-10,1.2121093215487747e-11,1.224765183971644e-11,7.987155911401345e-12,9.214515443513568e-13,4.921397867324108e-14,2.908514728134108e-14,3.2541515627351604e-14,1.0977946806977072e-14
5,94,2.623400882915114e-13,2.755738309509331e-10,1.844996765537488e-11,-1.8653110049930487e-09,2.7022117504655814,-3.3405517783839604,2.322924047745591,-0.6984307207434357,4.348182540187364e-15,3.3852632874488194e-16,2.432563089928739e-17,1.708054398489723e-23,2.194602358454947e-24,4.271528615320617,2.922179457902531e-10,1.4292559332700263e-11,1.589698370892248e-11,1.1333234485473113e-11,1.0403006498883402e-12,4.4876546995577075e-14,1.5968215773592957e-14,4.26791960797355e-14,9.26107839916974e-15
6,78,2.4962043385245737e-13,2.585143656000433e-10,1.8210762494201827e-11,-1.751983780074355e-09,2.6612714647310414,-3.2622409102622196,2.2955647038935507,-0.7152544895589391,3.591490253304292e-15,2.8189524593394477e-16,3.789961410760883e-17,1.637912558131984e-23,2.2351562436897083e-24,4.828273790728541,3.0803485462548507e-10,1.6971710020413463e-11,1.667022124243873e-11,9.291716777055138e-12,1.0797907962197667e-12,1.7469003384120933e-14,2.387693563301463e-14,3.4816661297736646e-14,1.5961063803397573e-14
7,122,9.185981321113985e-14,9.199492097211689e-11,1.1007372296540397e-11,-5.614721669757099e-10,2.6501777256074908,-3.251031477429975,2.282780069766673,-0.7222127602088964,2.0370526885796435e-15,1.6693640923951737e-16,1.6949567040319156e-17,7.856571783730284e-24,1.8833232473436904e-24,5.611933781268484,8.973154613720194e-11,1.0225088937651022e-11,1.1409145811846419e-11,6.02169413145702e-12,6.154425910296796e-13,5.298983784138637e-14,1.334823438199259e-14,3.629408257883443e-14,5.84189444816182e-15
8,145,6.658052082445365e-14,6.717901992571543e-11,1.1973683656282268e-11,-1.2447024559414996e-09,2.634219509355644,-3.247467904858344,2.28034480857525,-0.7176696374643077,1.5340157357222004e-15,1.9894905922368403e-16,1.8902339573686382e-17,1.481557832983163e-23,1.4878517749148174e-24,5.814633153472609,4.2024566600684247e-11,7.61242651752978e-12,1.0607635246383493e-11,7.179975229349617e-12,7.184509376139419e-13,2.3906240159750364e-14,1.1677234270924256e-14,2.2521383230894833e-14,8.925719428677215e-15
9,120,9.663483581230491e-14,9.695033919039163e-11,1.3761881409366528e-11,-7.632632790321572e-10,2.6493546807870936,-3.26630239664505,2.3020508272768154,-0.7259386039556464,2.1462275373196284e-15,2.175140841126123e-16,2.0621539553089765e-17,1.4456531820375963e-23,1.741215894658122e-24,5.731554170364438,7.36315431537681e-11,8.907709055489636e-12,1.2079301876793863e-11,7.999942800156839e-12,8.18774326204414e-13,5.4999385560290796e-14,1.8841548613105363e-14,3.337017170710747e-14,7.949689968474012e-15
