Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,61,5.641225676925488e-13,6.484327845209237e-10,3.5991841323732707e-11,-5.5132740107875775e-09,2.685116606143068,-3.2998668363308687,2.311435109153922,-0.7143690497344998,9.948069030406688e-15,6.309419455384055e-16,6.47380088741791e-17,4.316734682951151e-23,6.709990604161566e-24,4.734749274831563,5.894196697075026e-10,3.674562658217343e-11,3.1295418444943905e-11,2.1213770150871842e-11,2.0089983424608787e-12,9.197704251895569e-14,3.1798572064794804e-13,1.0429398590644308e-13,2.545819606675677e-14
1,84,5.198962360108974e-13,6.629377907890193e-10,3.307152428794829e-11,-6.620505632923634e-09,2.6838430389640857,-3.301262235405529,2.315791963290927,-0.7150890821289891,8.081636392255816e-15,5.148004885625495e-16,6.659870371693656e-17,3.154315336389922e-23,5.631576385604827e-24,4.973446788644223,6.254169498554177e-10,2.7961827097031728e-11,2.5122553995172064e-11,2.0951655282821638e-11,1.8812873200605197e-12,1.5534361967105965e-13,3.829939767652364e-13,5.697145834214698e-14,8.62378707014436e-15
2,74,6.768198335957178e-13,7.144007520614841e-10,4.3511438011789395e-11,-3.418288438589461e-09,2.6735115987979112,-3.283505531948949,2.3122585289093207,-0.7197852423774274,1.4867700529379027e-14,6.403121197887681e-16,7.925125561987571e-17,4.8292634396500133e-23,4.977497301107293e-24,4.478840126687253,6.524285793126422e-10,4.818945878080926e-11,3.508700514695228e-11,2.7320769849806248e-11,2.5343362643457846e-12,1.1018421674189802e-13,2.9680929861597666e-13,7.299615143828949e-14,2.3668543881847094e-14
3,88,5.54599373034559e-13,5.908883892371452e-10,3.7115938956582955e-11,-3.760873101805008e-09,2.6747409806667806,-3.2718342979348125,2.2758676720869615,-0.6972610229982541,8.630214193085968e-15,6.107485815700475e-16,8.872605693120456e-17,2.960392944806731e-23,4.809223477253369e-24,5.064046765135783,5.505274504989978e-10,3.0141451782499647e-11,3.646129749508407e-11,2.048754090883472e-11,2.0404554824697146e-12,1.4373413748323066e-13,2.7989454197440797e-13,8.050912535170438e-14,1.8325819034598866e-14
4,72,6.106983886016647e-13,6.133074081598523e-10,3.352055331708581e-11,5.707464129540182e-10,2.6346633913145157,-3.2048373744096583,2.268629192762476,-0.713703467333832,1.3358367752974985e-14,5.299996521687712e-16,5.862502442196621e-17,3.432714106692459e-23,4.9101020479786776e-24,3.7556728927092156,5.805038558526126e-10,2.9669083337072054e-11,3.2098776414953185e-11,1.8317785655494264e-11,2.0928260523415623e-12,7.573917054076811e-14,1.8596600940500767e-13,5.605960357899007e-14,3.1865308104615426e-14
5,67,8.352461984974683e-13,1.086689234314549e-09,3.824218871446633e-11,-6.136631402646857e-09,2.6611056572849217,-3.2689526366021897,2.330631147681971,-0.7343764875237777,1.3721236062806779e-14,6.337190454330293e-16,6.984921666959334e-17,3.496771045327716e-23,6.84064409068178e-24,4.120795055630154,1.0299092020116753e-09,3.073352482230271e-11,2.70587255402369e-11,2.4017806286504395e-11,2.4535162102852874e-12,1.0374500624366067e-13,3.7005574828711954e-13,5.207669062896894e-14,1.5769341774754236e-14
6,55,7.953913223449478e-13,8.066077368798822e-10,4.331083879013227e-11,1.6229103816868622e-09,2.687803560518181,-3.3004163343383945,2.3115906931493804,-0.7141062775133338,1.509146818823381e-14,6.820114440921277e-16,4.303298987388602e-17,3.980474173807198e-23,8.97931012064996e-24,4.587686263190955,7.714499348497324e-10,4.5365484026718255e-11,4.382777810208927e-11,2.446214997355406e-11,2.3905049822833625e-12,1.2449368483362082e-13,3.2296398518459595e-13,7.762694621040989e-14,3.3242863048555134e-14
7,103,2.8721076750396594e-13,2.8756796367809507e-10,2.6576000725865177e-11,-5.24195202545589e-10,2.6680650446170104,-3.2880977426680866,2.3364778619606175,-0.7454965870545643,5.14383997192844e-15,3.8192693393022537e-16,3.31720039632554e-17,2.686442337973965e-23,4.1252411883445224e-24,5.459014347363916,2.2353047418976772e-10,2.8818594395479397e-11,2.2920879154027722e-11,1.4534701441034497e-11,1.5573281071717111e-12,1.9861458717354237e-13,1.6053987231378568e-13,6.575623667835094e-14,1.145768594091969e-14
8,104,2.7311292321122335e-13,2.8147840303003977e-10,3.706274824212888e-11,-3.2425638938377886e-09,2.6376246483033974,-3.2333297877980365,2.2644470317669856,-0.7050304870120516,4.54895287250317e-15,5.045769138060632e-16,6.011825766471643e-17,3.112648771604673e-23,3.814942063864548e-24,5.5157588541927005,2.311292183270639e-10,1.827504750187674e-11,3.047746372667032e-11,2.323617179362886e-11,2.233436891093707e-12,2.0870789390912834e-13,1.2604962988521979e-13,3.809884027545069e-14,1.5352302656122103e-14
9,98,3.278969889650489e-13,3.288272214710073e-10,3.129033571505625e-11,9.36908045604807e-10,2.695695288486064,-3.32198507641273,2.311612954892841,-0.7134603195348337,5.435139591324601e-15,5.952529911844836e-16,2.973583457437995e-17,2.5114006177740073e-23,5.104970237281024e-24,5.777170554142267,2.6010029784528896e-10,2.3200575718946744e-11,3.113384025104065e-11,1.7760143601480535e-11,1.6433265761174413e-12,1.922981173618808e-13,9.626964572958732e-14,6.764421930239282e-14,2.7518984612174237e-14
