Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,71,3.5752284173948325e-13,4.0306022544736577e-10,2.1366183881296914e-11,-4.345535376325987e-09,2.6409106873797383,-3.2376830746431473,2.336216120267829,-0.7572955419368227,3.938189861948596e-15,2.676112328702212e-16,4.5982107432873884e-17,3.020736230381944e-23,3.6640086755769985e-24,4.406597903645683,5.104443389652097e-10,2.1920487097202133e-11,1.113591503454885e-11,1.3964316951411725e-11,1.4179705390267446e-12,2.16962532245287e-14,8.528742102423092e-14,4.4625620717581846e-14,7.340263604789875e-15
1,89,3.0675282279628275e-13,3.363893608121748e-10,2.3412594904498168e-11,-4.606695198056058e-09,2.6340630415489725,-3.238791804475504,2.354404310115033,-0.7734194770270764,3.597969683345104e-15,3.0972141051187456e-16,5.768222540326936e-17,1.969175404455886e-23,3.438729766899721e-24,4.75697325738181,4.1782283972696913e-10,2.1387363889378652e-11,1.1997586208275882e-11,1.3939712696735643e-11,1.6126436941130667e-12,1.3310353160554077e-14,1.0315420595155102e-13,5.710548007613162e-14,9.236839126607148e-15
2,65,4.3532094282639907e-13,4.868918838626606e-10,2.2944421381625766e-11,-3.90576768881347e-09,2.706031537586623,-3.3473544642294435,2.3686653965635376,-0.7427054346261767,5.363260577873216e-15,3.5178397861932366e-16,3.462522579718455e-17,2.5703335071524092e-23,4.550223835567831e-24,4.662355348766678,6.120286322023338e-10,2.1483951724862622e-11,1.700613339460183e-11,1.4107193605828078e-11,1.2889291405818338e-12,3.075314420923223e-14,8.41832217488644e-14,4.416790811784069e-14,1.2121012165220909e-14
3,99,2.095891412578542e-13,2.2055046982918695e-10,1.5593594593502744e-11,-3.0511550737880585e-09,2.655003706287461,-3.269742996472016,2.367706346995493,-0.7792880634244499,2.845178263055427e-15,2.0764415224876876e-16,3.7823679302883495e-17,2.1352519533405097e-23,2.8531950232185164e-24,5.071465362411076,2.3502097248265265e-10,2.0839771982699085e-11,8.623361004927371e-12,9.228113920273822e-12,9.78015542189477e-13,1.871627112056728e-14,9.514737141881699e-14,4.514515475276942e-14,9.375097032913864e-15
4,91,2.2261697116470677e-13,2.3098820584442364e-10,1.6165895942714683e-11,-2.4898977645140534e-09,2.738366670028731,-3.4123072430612,2.4147018132271896,-0.7664661838932192,2.9682606399668084e-15,2.1464613938186423e-16,3.3160333439373693e-17,1.895513446811494e-23,2.6748658905788094e-24,5.314588446635645,2.3125330099254916e-10,2.1282343103450153e-11,1.3159307159105945e-11,7.69232080247983e-12,7.987929756158925e-13,2.5017061154025422e-14,8.478082378029825e-14,5.1929088513680574e-14,8.846676482571845e-15
5,93,3.990973981727835e-13,4.47370095912475e-10,2.8077992333180136e-11,-4.8233364499227e-09,2.6299623836401658,-3.2338554248418947,2.36129835516552,-0.7770718392931759,3.9483093521736405e-15,3.626383513954354e-16,5.516162354506534e-17,2.3164963615565483e-23,5.228603700614003e-24,4.992024482481838,5.120671574795604e-10,2.575438173468878e-11,1.5604920866540864e-11,1.5179216077923567e-11,2.0245625214107186e-12,1.7122591835629345e-14,1.1028850475453314e-13,7.005227164789974e-14,1.6595188622941377e-14
6,99,1.9387876261273524e-13,2.0181732889430096e-10,2.0883437707702842e-11,-3.247394571208412e-09,2.667310545675985,-3.308142771638221,2.3842805755831464,-0.7782394836437179,2.888817963995065e-15,3.664219789529939e-16,3.1336861053182753e-17,3.0507326853341196e-23,4.188254905939809e-24,5.670593005959497,2.1107355451407954e-10,2.1091330417790885e-11,1.402195943418619e-11,1.2075708135526539e-11,1.3021257650613678e-12,2.506105292877617e-14,9.347181650732805e-14,4.241035700835188e-14,1.7733665535318145e-14
7,83,1.637543598041939e-13,1.6392405839276908e-10,1.1802910808877035e-11,-6.528566752871265e-10,2.7224246655137225,-3.3818277042186473,2.4095945457362995,-0.7810044266541389,2.44179538340959e-15,1.6566675613127824e-16,1.9584937977386148e-17,1.6856050168873323e-23,1.4723238817927846e-24,5.818590387622145,1.5695820886740472e-10,2.0930764349784713e-11,1.1586591131382078e-11,5.531209393582506e-12,5.585164142950998e-13,4.9701445580676585e-14,6.583782255739968e-14,4.4407707097031406e-14,1.021109799700733e-14
8,81,1.4346628762310647e-13,1.4541472651184612e-10,1.2467374612950672e-11,-1.6131845508499804e-09,2.689237720870291,-3.344969167694779,2.4239497218000023,-0.8024256506707308,1.9759409524719834e-15,1.8069316192698567e-16,2.006445731718426e-17,1.5227232511941615e-23,1.8974351266458e-24,5.761934129691937,1.50105581091808e-10,1.68077351541125e-11,9.04450251722318e-12,6.684351230881871e-12,7.155486637911183e-13,3.480645666364013e-14,7.748090832189761e-14,4.167465077523116e-14,8.995498141256391e-15
9,87,1.6984375275672813e-13,1.7012980368703485e-10,1.3627715967702456e-11,-6.142760016362514e-10,2.703677688124175,-3.366249574527613,2.429682343751729,-0.7974534627078926,2.4635263602938103e-15,1.6834231107086408e-16,1.6685734253774574e-17,1.3417986594386284e-23,1.9858326214595983e-24,5.496453105525303,1.5462739025925497e-10,2.0592811328558008e-11,9.079225171382505e-12,7.411831037570064e-12,7.623830061961025e-13,4.071578154744463e-14,7.275383829456415e-14,5.062942408715304e-14,5.725028567046832e-15
