Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,98,2.2329511129907766e-13,2.2435203592794956e-10,2.6419046596979702e-11,6.406242650564758e-10,2.8048899532057647,-3.5767768401753983,2.5380202680123123,-0.7921915121106989,3.283275474253921e-15,4.535148244868736e-16,3.569636889251299e-19,5.801728648702148e-28,3.4584082239797706e-28,5.509389114246924,1.941754965394507e-10,2.728253798157207e-11,2.5170727247456717e-11,1.77119336934017e-11,1.369174401729468e-12,4.3935175921185006e-14,2.938145807036831e-14,7.617052824854397e-14,1.3169943948095207e-14
1,152,6.318653903624477e-14,6.321745874815013e-11,1.0865625288039991e-11,-8.696312507376056e-11,2.775882111554046,-3.5388644894383567,2.5150950224854,-0.7936786874741758,1.132438967969554e-15,1.902385881887403e-16,4.454942300619171e-19,7.7081014930124e-29,4.5501922715369865e-29,6.075989419994107,4.056037864554857e-11,1.4355212043117765e-11,8.165511914452774e-12,7.015697333047277e-12,5.839759341216639e-13,2.2388172782564234e-14,2.5030519600236636e-14,3.153012291710209e-14,5.447812793528179e-15
2,106,3.368805173534252e-14,3.377937409055627e-11,4.220332859722213e-12,2.553154810415197e-10,2.793768605689256,-3.563556306596552,2.550734171040155,-0.8152623362668042,5.6973908496368975e-16,6.976553269167167e-17,9.520125562102702e-20,5.0272201099452416e-29,2.965004920029321e-29,5.491924132659856,3.007806643869859e-11,4.563453131610375e-12,3.8694816732499014e-12,2.7259103642343124e-12,2.2048839325618664e-13,5.075121896175553e-15,3.014388466106799e-14,1.0620216723815077e-14,2.4577925028321092e-15
3,136,4.810210888615022e-14,4.829648035179045e-11,7.894349081742613e-12,-5.526905251062305e-10,2.7869185040319246,-3.5661124772913775,2.555211536066494,-0.8155357910688806,6.200745121274359e-16,1.3266067258455282e-16,1.2481359644704045e-19,1.744976296228336e-28,1.0650331308786838e-28,6.297769574816163,3.4478291067179424e-11,8.140228303474795e-12,5.244159678604553e-12,5.529092350130466e-12,4.3769954264982826e-13,6.697737936092478e-15,1.757988557284619e-14,1.8948063158383358e-14,4.965336364711466e-15
4,86,4.749611650186577e-14,4.75484244527259e-11,3.879845573216093e-12,2.1811746211768838e-10,2.8436062262274158,-3.657233513775922,2.638994593713942,-0.8504602256309844,8.564523589511991e-16,6.258826285523379e-17,9.203370932301747e-20,3.527126070678931e-29,1.9751907045831256e-29,5.417524624443853,4.706935250540097e-11,7.84163793708263e-12,2.5906697103634766e-12,2.435428096614495e-12,1.9002909024570574e-13,8.997356641159828e-15,2.9323647351728e-14,2.5648334464209826e-14,1.9906636907738173e-15
5,128,6.038128295746831e-14,6.049013794056665e-11,9.899419684963605e-12,4.5024684611563863e-10,2.7993923665285676,-3.585086192559513,2.5535951059128696,-0.8122726825629287,9.466257518932766e-16,1.721516336064527e-16,1.262345060565754e-19,1.309106853767372e-28,7.828979131706928e-29,6.077180668883628,3.35603286576128e-11,1.4157463894955136e-11,7.393661783820435e-12,6.8147414842341126e-12,5.028525001800827e-13,2.302529662206479e-14,1.644689032400379e-14,2.6247184957548577e-14,4.26549560890956e-15
6,116,3.285377577320451e-13,3.286928517298268e-10,4.8635044598216154e-11,5.603311418567424e-10,2.7936198437961917,-3.579558571925183,2.5809595736776574,-0.8302316124330773,5.647659131307796e-15,8.836396945988678e-16,3.0734669889231815e-20,3.1449400622833493e-28,1.7969979723084849e-28,5.858400121263507,2.5563201649366656e-10,3.964688419096165e-11,2.995817620138787e-11,3.057916511137647e-11,2.7756555770697046e-12,9.099136138192652e-14,1.5786071502066076e-13,1.8081888616849657e-13,2.3836079932658852e-14
7,100,7.884422985492605e-14,7.890726756105123e-11,7.780064516224243e-12,-1.0468654982837754e-10,2.802446018285438,-3.5641388439797943,2.5283022950288947,-0.7893017114724741,1.4496009298140572e-15,1.3318166453521028e-16,1.6507661765026467e-19,1.32906874221174e-29,4.931318351883652e-30,5.215774930053584,6.399203561384911e-11,8.73308979926088e-12,7.245386428539116e-12,4.9044259667835185e-12,4.033761154215124e-13,2.041990345916942e-14,2.5676126262603277e-14,1.8595349690859417e-14,4.5262371468664264e-15
8,121,3.970219559152001e-14,4.0365602664170035e-11,6.494023569868277e-12,-1.0067087024759755e-09,2.7434401307779366,-3.484975598521365,2.5135173667815542,-0.8132454573787764,5.869597731055596e-16,1.0042643981948809e-16,2.438385159870328e-19,9.890342940809386e-29,5.382269624555198e-29,6.25143788231193,2.6670308761599624e-11,6.8724483192786245e-12,4.5484955586311795e-12,4.107615066347793e-12,3.9328209737078327e-13,1.6057143764449835e-14,1.2247101934886098e-14,1.9389452408147725e-14,3.0490927423109313e-15
9,68,7.910494655966684e-14,7.911181543027112e-11,3.848180093857114e-12,-2.8994995555336948e-11,2.899320186506819,-3.750378398417512,2.702441382294876,-0.876390453428483,1.7594217522371651e-15,3.4220965371433915e-17,2.2056827938974112e-20,3.540967775985586e-29,1.8900326917195496e-29,4.805092895702333,6.555365745724365e-11,1.7640140373548516e-11,3.4450714136576675e-12,1.440677989477103e-12,1.1998501428294328e-13,2.4358684489865236e-14,1.019014199145988e-13,3.8666478973578256e-14,2.798451143349781e-15
10,128,1.26503392115785e-13,1.2670417601324835e-10,1.908155725045785e-11,-6.375618367222353e-10,2.7810737395369096,-3.5556439369351205,2.5622072173673143,-0.82745830969517,1.844406142191984e-15,3.113351905494587e-16,7.781488217106673e-19,1.227206604566346e-28,7.527275323951214e-29,6.012018136993135,8.138247869630468e-11,2.9304182675988316e-11,1.0862159131336517e-11,1.316261574465977e-11,1.074148594913646e-12,2.662044134517029e-14,6.907513276220421e-14,6.951568339992605e-14,8.1783567580298e-15
11,67,5.662739515184798e-14,5.663916035552754e-11,3.4818528176950123e-12,2.282410638387777e-11,2.8932053155175,-3.734342690540792,2.6707239458117322,-0.8590059418782275,1.0989400914386003e-15,3.837015386365577e-17,2.4093360053153996e-20,5.485267052592358e-29,3.1126433114785945e-29,5.153952881254751,4.162274731159113e-11,1.4824441307791717e-11,3.064140898907765e-12,1.4523645305327856e-12,1.1224587736618113e-13,1.567526912060542e-14,6.450203419058389e-14,3.7661941007616936e-14,3.3774376994566053e-15
12,122,4.683918237136612e-13,4.683961729305191e-10,5.043885223008784e-11,-2.1517032809458725e-10,2.8102424615102244,-3.604685132896,2.6123657263575186,-0.8543419810892434,8.104447443603296e-15,7.791875441253323e-16,3.8453049158366885e-19,5.316199061865234e-29,2.6083469492257155e-29,5.579139250899966,3.3248724661191335e-10,9.781456824386719e-11,3.86857863413019e-11,3.1764834352510257e-11,2.5628969165451545e-12,6.800501570239839e-14,2.957371367476868e-13,2.514218775562766e-13,3.548781665208757e-14
13,76,5.3517118163604694e-14,5.3597932159603604e-11,3.1615180414700943e-12,1.6110738537594072e-10,2.9013208864098683,-3.744422854171759,2.661326214352117,-0.843280318078838,1.0798435087722344e-15,4.1427460752322474e-17,1.0124163070286627e-19,3.690198054823187e-29,2.242698076274261e-29,5.016559462852681,4.519093567206928e-11,1.101631952886725e-11,3.305994943240037e-12,1.5778180486507783e-12,1.0605764990167914e-13,9.348556128675178e-15,4.82449862602538e-14,2.4878870764544885e-14,2.3591615462493e-15
