Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,66,1.92558506206384e-12,1.9536891760919556e-09,8.129239189913124e-11,-2.08383428748413e-09,2.732549901516369,-3.3785060277836636,2.363936092350457,-0.7308273991224481,3.828155119093296e-14,1.1765293921768632e-15,1.8535225883291742e-16,1.0185554146645148e-22,5.327355143999522e-24,3.852993564722513,1.7052516371619904e-09,1.292781414117962e-10,8.360823373676136e-11,4.301175824900746e-11,4.068045966263608e-12,2.2807880986645377e-13,7.327082536699881e-13,2.2847255327698777e-13,7.822452523876066e-14
1,65,1.3356457689814747e-12,1.3548706153996e-09,6.709377233654297e-11,-1.8341751854925554e-09,2.8258512221353023,-3.5587467453993473,2.464193865245947,-0.7458842017277896,2.50708108859979e-14,1.0975404320512383e-15,3.971314381563606e-17,3.2514970821877807e-23,3.641417154709648e-24,4.496775453631772,1.1915807804570838e-09,1.163312299007647e-10,7.691769604421489e-11,3.558441453685584e-11,2.743965257577403e-12,1.1550917198843303e-13,5.754240148832832e-13,1.6581490704955156e-13,8.66237718188251e-14
2,48,3.721322461678707e-12,3.727734444333246e-09,1.0276702193657406e-10,-5.977838696012398e-10,2.7856113052850073,-3.4636569463541833,2.3776085024892253,-0.706796837120387,8.014760359133073e-14,1.747055867794798e-15,1.1612234061974835e-16,3.056310089160341e-23,3.8954273889272015e-24,2.9336562431227553,3.4545354787163465e-09,1.2560645841080974e-10,1.1936057510019211e-10,5.607191153083218e-11,4.499982394624281e-12,2.524118701337193e-13,6.613280215904317e-13,3.2338615560242845e-13,1.0987000193840235e-13
3,57,8.307515801933085e-13,8.364129913718926e-10,3.064843387604854e-11,-1.117561661748958e-09,2.8847091986003353,-3.6538574707391063,2.5324054248443297,-0.779229096401662,1.7660902367793885e-14,3.965197444470151e-16,1.2047738256454392e-17,1.9288002797340704e-23,2.4821071499915127e-24,4.685439166702692,7.013935507958861e-10,1.0484245666062555e-10,3.818097945047744e-11,1.114913386347761e-11,8.830129391725826e-13,1.1000780488189643e-13,7.012306994053396e-13,1.4119757086893995e-13,5.385380219822911e-14
4,60,1.1549660510955078e-12,1.163746766807242e-09,6.24024343803161e-11,-1.868293916914052e-09,2.781645712893294,-3.486905555527936,2.453732861682511,-0.7666514965047768,2.6201703878783804e-14,9.754178844018983e-16,7.054155227375315e-17,2.722718520605321e-23,3.411051186557134e-24,4.425624499976927,9.518710687569985e-10,1.2044531759173367e-10,5.97660344759884e-11,3.3122955674637804e-11,2.841144303696187e-12,2.9656506675636416e-13,8.929612348647516e-13,2.249268489418857e-13,7.08795569190886e-14
5,69,1.5578044476254959e-12,1.5747333581775597e-09,9.229308154166564e-11,-1.6899559646323699e-09,2.7519316654510035,-3.4253092733201136,2.3847068184173654,-0.7268579283911418,3.006485606265485e-14,1.6733602813642304e-15,4.6020061005297746e-17,7.115659802965564e-23,6.994095737198309e-24,4.303619952790992,1.3830749490735325e-09,1.0849983107556876e-10,1.0135255879854683e-10,5.3810548901996294e-11,4.5490369739830336e-12,2.1417845646953128e-13,3.9348851223455406e-13,1.4586495650152865e-13,8.54011067929538e-14
6,57,4.1851017586087e-12,4.1852064986706335e-09,1.411391925026361e-10,2.1952340632398692e-10,2.8108486595304383,-3.5136799690469633,2.393743638495482,-0.6985533935428655,9.971333629153087e-14,2.8386151968877852e-15,1.3818768903310453e-16,2.8596517230314325e-23,3.910229901482795e-24,3.0902631536608642,3.843487029790554e-09,1.4469702417980783e-10,1.5985093282843264e-10,8.347120221624609e-11,5.859936400423177e-12,3.5255842162675525e-13,5.350650750478226e-13,3.7837495988514195e-13,1.4544617193401246e-13
7,57,8.405987146502901e-13,8.465927358051865e-10,2.7722079427120112e-11,-1.3411236102803588e-09,2.9500506314390496,-3.7607696485590596,2.5765035589261673,-0.7824792838333106,2.1254943610541688e-14,2.464879184873283e-16,1.0282182486613142e-17,1.3113688840367727e-23,1.805708908545179e-24,4.614840829026722,6.828712591019339e-10,1.3961059747118606e-10,3.541862038024533e-11,6.283650937957528e-12,5.094934126071157e-13,2.4463542363219096e-13,1.030121070516153e-12,1.9347239989743547e-13,2.9843813137069515e-14
8,48,9.210021038589377e-13,9.218244044008181e-10,2.7042284384992658e-11,-4.774012941041995e-10,2.937720216806321,-3.7264712930119903,2.5440662318631406,-0.7700393809434761,2.1214999564432153e-14,2.2155185420304438e-16,1.2000407303629562e-17,9.963753106425284e-24,1.837403287174276e-24,4.471715212806264,8.112319216730309e-10,1.3635412442881925e-10,3.5236245717510315e-11,6.829035930737262e-12,5.143498535348738e-13,1.3387213913825416e-13,8.791589332647804e-13,1.681182294883424e-13,3.613478617495645e-14
9,56,9.398481083723213e-13,9.461847599416567e-10,2.896119297776927e-11,-1.2882402833840026e-09,2.9333098215631406,-3.7270675706435696,2.551974847992053,-0.7728097891775553,1.9691930075186357e-14,3.3313987933799665e-16,1.5285833708846858e-17,1.4888753176594565e-23,2.088251953777773e-24,4.677018732273641,8.342947137633675e-10,1.2631874565446882e-10,3.307137435935345e-11,8.090320955736935e-12,6.174355264418599e-13,2.1940222203406412e-13,9.65232023530284e-13,1.926373170774202e-13,2.5009843211211893e-14
