Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,142,3.684621434616989e-13,3.690304784461113e-10,7.697284030156737e-11,-1.4843645773278714e-09,2.5500239089772343,-3.0997692954493887,2.182816592592689,-0.6879378057410754,7.048792920545858e-15,1.452769217342555e-15,1.9572832228774983e-16,6.227174097575891e-23,5.7353618557101896e-24,5.82020580459134,2.4431556921280784e-10,3.776051514475219e-11,4.875379786584478e-11,5.0993325512195596e-11,5.414460847528567e-12,1.0462106260684937e-13,1.9169740032950717e-13,8.234532853788128e-14,5.982710223091557e-14
1,177,4.806096937121464e-13,4.810922997979512e-10,1.3386246000853618e-10,-1.7915937507595213e-09,2.5291768018747973,-3.0799570546919304,2.155001129497709,-0.687799130983395,7.555993835824736e-15,2.4211603015290637e-15,4.2771263928842737e-16,1.6577847825211973e-22,1.0096989252523944e-23,6.230125829239254,2.3251150868206671e-10,5.5626569891040703e-11,9.873210279518453e-11,9.032375425121159e-11,8.952291587051367e-12,7.795675164857883e-14,1.9891369802215847e-13,9.372215088145965e-14,6.909980504499658e-14
2,134,4.487009307901071e-13,4.493621540611795e-10,9.143139722279258e-11,-1.5776289463901312e-09,2.588130389244856,-3.162438598601466,2.209420375519025,-0.6916613313903284,8.024780768164828e-15,1.6151001350768395e-15,1.4945644540467474e-16,6.013376537118055e-23,5.24297815309004e-24,5.379406601735047,3.049288274837277e-10,3.2076701204985944e-11,8.127416585739932e-11,5.7443872935879806e-11,5.76516218362329e-12,1.6325577357678293e-13,1.4721263513395464e-13,8.567094185266464e-14,4.143443137190305e-14
3,104,2.1485321181240952e-13,2.1494273054042785e-10,2.2970343511142537e-11,-5.215043659285372e-10,2.678579722617338,-3.3251038349601285,2.383168170695419,-0.7699255315382253,4.478983153640659e-15,3.6083821945067e-16,3.7507300855797267e-17,2.631274728320519e-23,2.797316166092079e-24,4.757984250078461,1.6332457601263768e-10,2.1621672793147812e-11,1.7546023789127705e-11,1.3550795436583053e-11,1.3744581425820312e-12,2.810984307427064e-14,2.510628933591931e-13,3.839066809949198e-14,1.9403603911081422e-14
4,128,2.4361569425818093e-13,2.43751421257735e-10,3.871894331474606e-11,-7.746974511055139e-10,2.617870542062146,-3.227309042184839,2.3129487423684743,-0.7479975506648282,4.515525342304872e-15,6.439211129927428e-16,8.044481028808708e-17,3.102471041438283e-23,3.5170407657343986e-24,5.244496826264121,2.1875837981408986e-10,3.166085875905927e-11,2.586941197287866e-11,2.3974391244860804e-11,2.6231801357906287e-12,6.242057369710926e-14,2.103891595535692e-13,5.400696705402807e-14,2.9556782862825653e-14
5,117,5.053371634016224e-13,5.055482499203727e-10,8.226635960271367e-11,-4.3029357876218805e-10,2.5937131609153052,-3.158887939296056,2.2048630671026697,-0.6798951299402922,8.848343712723187e-15,1.3251243254410706e-15,1.9665616883897459e-16,3.1810286076305723e-23,2.8630704640510156e-24,5.275357582857253,3.649059255049501e-10,3.228126965527705e-11,6.161362212741044e-11,5.5454857486935596e-11,5.271941649834504e-12,6.889222846087839e-14,1.5843769197735976e-13,6.068482635838878e-14,4.830453456689618e-14
6,124,5.735756053815918e-13,5.742343835720526e-10,8.831965267247627e-11,-1.244657776963883e-09,2.620586414503331,-3.2086047549176664,2.2369750029860236,-0.6860514326333227,1.0964044017288943e-14,1.5319485014482929e-15,1.701803608562857e-16,1.90812782285393e-23,2.5176492290360188e-24,5.169931177197795,4.857950767743061e-10,3.79823540064854e-11,6.879145862332248e-11,5.877306415436444e-11,5.5124745732546554e-12,1.690620044016512e-13,8.380529481275453e-14,7.817502410523961e-14,4.3003586270155373e-14
7,56,2.0272443357078516e-13,2.0302650912671506e-10,9.618475391674379e-12,2.8734081249282805e-10,2.8028285607658576,-3.5277552997710044,2.5161999223114235,-0.8145058443913573,4.6897407129921205e-15,1.1655624426810683e-16,1.017288992026196e-17,4.095403095990559e-24,3.6567148132863307e-25,3.4100392879987673,1.8422210777746483e-10,2.1626569260543272e-11,8.576192547327008e-12,3.941554284208652e-12,3.583474587622087e-13,2.5696391450085732e-14,3.897363042967521e-13,4.107904887427869e-14,5.4371755948551254e-15
8,57,1.9535163139479965e-13,1.9548094911012672e-10,9.396464605876452e-12,1.3514075297523295e-10,2.77999791028743,-3.474199081062247,2.4682763482238252,-0.7974384453954628,4.487256245047232e-15,1.1138942288611589e-16,1.0254931366140672e-17,4.1814262320492256e-24,4.596220846372529e-25,3.6129664306994154,1.658929778243202e-10,1.95291420228026e-11,9.036884638809792e-12,3.980247937741375e-12,3.560053794666005e-13,2.1039605407779913e-14,3.540712132775119e-13,3.770321775999194e-14,7.328827662035925e-15
9,76,1.8785574914872734e-13,1.8807643980133913e-10,1.1381549773645993e-11,2.615230394028983e-10,2.7836887215451696,-3.501824633090611,2.498491613565916,-0.8066762421026377,4.210788173462743e-15,1.5703081996306493e-16,1.1146414339247771e-17,4.974359317470911e-24,5.077237341959302e-25,3.8830346827541273,1.7561932301319939e-10,2.380804627208414e-11,1.0105490105271852e-11,5.227193657589471e-12,4.855876191199965e-13,2.927968645453532e-14,3.2082170908034424e-13,4.4507488648410035e-14,8.340505791321924e-15
