Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,0,8.923082802907706e-06,159.99028418269293,1.2043983702777856e-05,-1.8696451508428422e-08,0.910551219088027,0.046004425012478534,0.016827370510580045,0.026614567712702455,7.319124011287183e-12,3.621549083943564e-14,1.638411735077912e-14,1.077479101055979e-14,8.739284356135415e-15,3.5804286510592815,160.02527095245796,6.905755901170595e-06,5.661963093899101e-06,2.7351927351376277e-06,2.23120448339937e-06,9.72905347257677e-11,2.956711353978181e-11,2.327785163606829e-11,6.705526878040803e-12
1,0,6.401199421277151e-06,39.82412774101175,1.2633616198019292e-05,-1.1536464663304666e-09,0.9164545133899908,0.03833424948812066,0.016145139186154074,0.02906408349043586,8.72192965380587e-12,3.854679258231556e-14,1.7181378522213465e-14,1.1202981239286149e-14,9.065392621321362e-15,3.498483949865723,39.83480186015516,6.881736689416801e-06,6.074752603056282e-06,2.9091229113694826e-06,2.326555887942483e-06,1.1256354634516754e-10,2.974052638098932e-11,2.401399830460738e-11,6.9958081649971605e-12
2,0,6.529552480841674e-06,85.80187035461391,1.3802534461020111e-05,-1.7068244075101133e-08,0.9343078319273235,0.040712768452815344,0.0075564068705994795,0.0174200964207476,8.507766712765836e-12,4.2227480697665934e-14,1.824140501233578e-14,1.2072070008205047e-14,9.809106084016954e-15,3.623091946050214,85.82218531592599,9.198944670290419e-06,6.90231480382587e-06,3.1656125914159972e-06,2.498453941688842e-06,1.1467184525269265e-10,3.199529416715503e-11,2.7385897724918815e-11,9.046615023642956e-12
3,0,1.0162274229484844e-05,259.73712847638893,9.588273066221504e-06,-1.3988441560901926e-08,0.8713120412642349,0.0468876570563854,0.03398058400946475,0.047817956962748785,3.543977432627431e-12,2.948918921195947e-14,1.3661005162889385e-14,8.803003684529428e-15,7.163760064022523e-15,3.8629986557196587,259.7884898694319,4.851907288541353e-06,3.7434943281363316e-06,2.226624292056136e-06,1.835385200826002e-06,4.879307626534228e-11,2.3402997514105268e-11,2.0625351724482015e-11,4.8829089162272585e-12
4,0,7.92420143582531e-06,148.24933162681293,1.0182620525885135e-05,-1.738068949370562e-09,0.8763862622688017,0.04408843592898,0.03279859474561103,0.04672545817539122,2.79540839246887e-12,3.166510172038588e-14,1.4471750537111703e-14,9.362447512778076e-15,7.524648957369458e-15,4.168658636704178,148.27912242287505,5.7332159461077685e-06,3.999134108037896e-06,2.3571537174267528e-06,1.946142390904028e-06,4.0998546673341925e-11,2.395697868267392e-11,2.1063715585939544e-11,5.34149704353034e-12
5,0,6.682811387264842e-06,39.44972663919791,1.264723720635004e-05,-4.666676893532476e-10,0.916695562452695,0.037550773381034463,0.01626120334975168,0.029490486475664893,8.70920970229313e-12,3.858992650819373e-14,1.7246268143509912e-14,1.1218914413452478e-14,9.05164920781261e-15,3.4984869512110217,39.46048925779707,6.868743413914035e-06,6.065390746073128e-06,2.915016652098414e-06,2.331772619708216e-06,1.1220884473379383e-10,2.9549729820753506e-11,2.4018166099554514e-11,6.961101149083834e-12
6,0,5.245516163590165e-06,48.806524268367056,1.2753978762018991e-05,-4.803354598807011e-09,0.9030307499390203,0.03662329496593558,0.034089812093199695,0.026253954884146037,6.630317789144487e-12,3.7587534163214264e-14,1.817005716086664e-14,1.1420022951646944e-14,9.185005785414531e-15,3.7549385660765684,48.8183400528776,7.496341738354294e-06,5.70202477906719e-06,2.8766585562258507e-06,2.3981621453277174e-06,9.719292121683418e-11,2.8996653638056784e-11,2.5026070908663625e-11,7.91356564458391e-12
7,0,5.8927022093837485e-06,454.11693632403905,6.948285903498052e-06,8.359308255391257e-08,0.8391500939929106,0.06715053729283237,0.04522039124837558,0.048476054442819,1.0408281194708015e-12,2.1123766064910615e-14,9.858163601631149e-15,6.6223640123441135e-15,5.387047183730711e-15,4.965365231810766,454.1611096263445,3.502727954772453e-06,2.40708569336589e-06,1.5738808984176898e-06,1.359864540931532e-06,1.962185413414998e-11,1.914320265036839e-11,1.5988177832339207e-11,3.776629667815313e-12
8,97,9.533218151363023e-07,1.4063576488588825,8.458908115873479e-06,2.7914243203067972e-09,0.8539492432236727,0.04602907071692321,0.040248467925071814,0.059770681908539944,1.2950325683771918e-12,2.6849318318170035e-14,1.2105717698906531e-14,7.892878500110484e-15,6.363856841685232e-15,4.864234271238276,1.4067454108588178,4.316665890174181e-06,3.0393238938000696e-06,1.9640048888702536e-06,1.6419565458308977e-06,2.1724157537419973e-11,1.816011086744687e-11,1.732920534943583e-11,4.068676153352296e-12
9,0,3.964569490278288e-07,2.51041432671279,8.088783408731727e-06,1.4562283281674364e-08,0.8501504552426732,0.05711369180410385,0.03919988089720406,0.05352904217644435,1.0941355928612184e-12,2.5081689140534053e-14,1.1520107649064123e-14,7.574818304639788e-15,6.191433282223055e-15,5.153073394447537,2.510689512319368,4.370835758269219e-06,2.8491474377985395e-06,1.8574091693253813e-06,1.5730502625304896e-06,2.0962424690589317e-11,1.9673936999219448e-11,1.7379868899225614e-11,4.022482130478632e-12
