Channel,过零率,方差,能量,差分,AR_coef_0,AR_coef_1,AR_coef_2,AR_coef_3,AR_coef_4,Band_1_power,Band_2_power,Band_3_power,Band_4_power,Band_5_power,微分熵,Wavelet_energy_1,Wavelet_energy_2,Wavelet_energy_3,Wavelet_energy_4,Wavelet_energy_5,Theta_power,Alpha_power,Beta_power,Gamma_power
0,3936,9.008383818824256e-11,1.1002328067468014e-05,1.1763744563605231e-07,1.0585455971119722e-09,2.5102362567557925,-2.8002518132625003,1.758202538389028,-0.47162824272894405,6.133788769380993e-13,1.4706687158491986e-14,6.900271777251322e-17,3.4635773571335877e-17,2.7700607338785662e-17,4.19273703259435,1.0689042090323518e-05,1.8111240167228255e-07,7.648428171170419e-08,6.29159951481443e-08,5.5254164008349506e-09,3.3827481952433218e-12,1.922260672623827e-11,2.769455802387018e-12,4.715388594127587e-13
1,1498,5.960240925630364e-10,7.27795084157317e-05,1.3251979218435072e-07,5.120170290814803e-10,1.7478686338854341,-1.0859986251846112,0.1784732064315645,0.15901998903145864,1.6356264324346272e-12,1.6310227391322264e-14,4.952174339478473e-16,3.0150332803441965e-16,2.4285857860647586e-16,2.7406256860173412,7.242516523577759e-05,1.8518109119835064e-07,1.0602836371818087e-07,6.505322542014924e-08,1.0577782442027764e-08,6.174566918963898e-12,8.279465851538644e-12,3.846954718072057e-12,6.977736754502828e-13
2,2288,4.098977197656568e-10,5.0087470341201076e-05,2.621548116635247e-07,9.623559804933606e-10,2.077629454979282,-1.8228672208777204,0.8049283213819531,-0.061113216728394565,1.946541547803435e-12,3.593349475525526e-14,4.0277499718852125e-16,2.278256699904348e-16,1.823585753483983e-16,3.3914448250723477,4.947250342198231e-05,2.9756394989188816e-07,2.0605951809686632e-07,1.5268965038099992e-07,1.538005416576162e-08,7.086448458858902e-12,1.723693916017904e-11,5.678034280696001e-12,1.434709176623657e-12
3,3317,1.1474423782343576e-10,1.3999102457920931e-05,9.563075271572556e-08,-4.221696251300943e-11,2.2202874921517526,-2.0326873217542647,1.0283810387911225,-0.2190261805983038,6.671434371566342e-13,9.814257882506107e-15,1.3245492485162467e-16,7.334476455350139e-17,5.917969376108202e-17,4.162037005232042,1.3729220890282658e-05,1.803765814097998e-07,6.03369425432061e-08,4.1434047664188455e-08,4.502741418013893e-09,8.33777165425461e-12,2.4589611406241415e-11,2.5010392306416064e-12,4.0226266934020626e-13
4,3577,1.7785098194777502e-10,2.1727713406503015e-05,2.1164701176002827e-07,-1.6093813943597769e-09,2.3452263832741145,-2.395916937059148,1.3728603786424431,-0.3256145029123878,1.0766872316925933e-12,2.5421338347753647e-14,1.9534048395416124e-16,1.0692638749879498e-16,8.615996573205334e-17,4.250741199455929,2.1155744406419756e-05,3.294653650904229e-07,1.391362933764125e-07,1.100144944461685e-07,1.0386717639011527e-08,7.388576488479998e-12,3.918784203402041e-11,4.99533108416129e-12,9.239842061555684e-13
5,1660,5.548955674694612e-10,6.77972482264624e-05,1.6231173429646287e-07,6.657357582502946e-10,1.8798788224108158,-1.3718969116673352,0.4090644808242607,0.0821963743032648,1.6693335832603084e-12,2.0729003538363943e-14,4.1987786367138264e-16,2.504896036034106e-16,2.0152869624557953e-16,2.9225669356329673,6.737843366641275e-05,2.2027126161460909e-07,1.2682996303527585e-07,8.570736879595554e-08,1.1147894537475874e-08,6.260431691935232e-12,1.088180521513711e-11,4.445919564096152e-12,8.407888903116375e-13
6,3302,3.348762777423564e-10,4.088537964783934e-05,2.8867347885811343e-07,-1.7039231289632132e-09,2.3808151397974076,-2.358726436384114,1.3039919599615781,-0.32952061744259836,2.4688895057249397e-12,2.613550645887479e-14,2.3529486638434245e-16,1.4356185252862036e-16,1.161271215449949e-16,4.05110126029529,3.99180274634735e-05,6.782827559234863e-07,1.7859464475403254e-07,1.0729569469981191e-07,1.0504397794628968e-08,1.5285993867596583e-11,9.622232189669967e-11,8.817641730601211e-12,1.1836981549048283e-12
7,2731,1.2714423652013443e-10,1.551213574102217e-05,7.61676856555408e-08,1.9887189067584595e-10,2.145597127432607,-1.859350728683059,0.8657857545490313,-0.15419372847781004,6.46779178193274e-13,7.904254874666157e-15,1.2527271642541167e-16,7.085199550302744e-17,5.701976446338467e-17,4.157492196948588,1.5291100307713077e-05,1.3677360212328084e-07,5.119965053967591e-08,3.2505126947110194e-08,3.824393234331943e-09,1.5083570776041034e-11,1.463223070321564e-11,2.3766251976859455e-12,3.3690954263715775e-13
8,2193,2.2345691241188378e-10,2.7264445334762226e-05,7.911917806573749e-08,2.7690242230541334e-10,1.8993760498799794,-1.3180671453730635,0.3931838985005782,0.024212000654136142,8.310784845963285e-13,8.319764481693098e-15,2.3368892328251723e-16,1.3801549395961565e-16,1.1117684732473452e-16,3.692907651434999,2.7045249467916457e-05,1.2928062410465247e-07,5.530557106022715e-08,3.336809227100323e-08,5.154333893587336e-09,1.414501143793519e-11,1.2379780838147697e-11,2.3464272852769543e-12,3.6616059666912287e-13
9,4305,4.623723096441414e-11,5.641090260522635e-06,7.226017890135877e-08,-2.1404719460572986e-10,2.6097279195935745,-2.942586504136494,1.8835368672776267,-0.5574071859717276,5.371000402101305e-13,5.8823279559118016e-15,3.6006436168037906e-17,1.705721476287723e-17,1.3640037613554983e-17,4.455763254568206,5.384821276642967e-06,1.895365261000909e-07,4.012493555170467e-08,2.5436942932452368e-08,2.224482764484432e-09,1.2757029775005958e-11,2.4883341921276532e-11,2.9569772954567067e-12,2.578946013923752e-13
